gens,average_placement,hands_won,mean_money,fitness
gen229,6.216000,4706,3457.965598,5.550000
gen230,5.754000,4123,3348.360286,6.150000
gen231,6.119000,4742,3328.712586,6.450000
gen232,8.188000,5774,3279.518698,6.150000
gen233,6.048000,4216,3532.310016,5.700000
gen234,6.159000,4514,3464.712071,6.000000
gen235,7.778000,5158,3432.069168,6.000000
gen236,7.648000,5266,3348.465582,5.850000
gen237,7.125000,5056,3421.579263,6.000000
gen238,7.273000,4823,3465.890190,6.150000
gen239,7.358000,4974,3370.670366,6.150000
gen240,6.473000,5173,3513.332859,5.550000
gen241,7.130000,4992,3277.429497,6.300000
gen242,7.000000,5078,3140.811971,6.450000
gen243,7.481000,5821,3552.509806,5.700000
gen244,8.136000,5885,3227.319222,6.450000
gen245,8.048000,5127,3388.875081,6.150000
gen246,8.403000,5152,3337.381807,6.300000
gen247,7.301000,5500,3537.832993,5.700000
gen248,7.605000,4806,3421.663548,5.850000
gen249,7.336000,5090,3513.317463,5.700000
gen250,8.056000,4511,3459.566519,5.850000
gen251,8.034000,4584,3273.153932,6.450000
gen252,7.492000,4968,3432.242712,5.850000
gen253,7.884000,5444,3402.115411,5.850000
gen254,8.102000,4847,3393.000449,6.150000
gen255,8.144000,4651,3520.190027,5.700000
gen256,7.905000,4710,3347.499130,6.150000
gen257,8.128000,5143,3524.771577,6.000000
gen258,8.813000,5197,3332.728797,6.000000
gen259,8.151000,4984,3432.081244,5.850000
gen260,8.000000,5042,3328.788000,6.150000
gen261,8.320000,5320,3439.788678,6.000000
gen262,8.321000,4318,3402.905274,6.150000
gen263,8.399000,4812,3494.909240,5.850000
gen264,8.154000,4828,3398.281527,6.300000
gen265,8.125000,4728,3343.203761,6.450000
gen266,8.197000,5221,3419.712133,6.150000
gen267,8.293000,5028,3318.063060,6.300000
gen268,8.266000,4429,3466.413472,5.700000
gen269,8.000000,5795,3387.327119,6.000000
gen270,8.319000,5343,3398.015751,6.000000
gen271,7.944000,5894,3412.291135,6.000000
gen272,8.264000,5370,3337.793861,6.450000
gen273,8.125000,5409,3515.349022,5.850000
gen274,8.229000,5196,3381.549114,6.150000
gen275,8.425000,4802,3319.355360,6.450000
gen276,8.197000,5392,3497.215262,5.850000
gen277,8.264000,4773,3450.088831,6.150000
gen278,8.123000,5379,3467.574112,5.550000
gen279,7.907000,5969,3439.302556,6.000000
gen280,8.006000,5521,3465.027325,5.850000
gen281,8.225000,4732,3357.462377,6.300000
gen282,8.127000,5175,3484.701951,5.850000
gen283,8.266000,5591,3356.882928,6.300000
gen284,8.595000,5179,3193.865845,6.450000
gen285,8.257000,5424,3252.950975,6.300000
gen286,8.414000,5115,3454.334465,5.850000
gen287,8.373000,5273,3386.960099,5.850000
gen288,8.543000,5531,3314.258385,6.150000
gen289,7.994000,5127,3407.840537,5.850000
gen290,8.343000,5535,3458.531936,6.000000
gen291,8.769000,5048,3279.417023,6.450000
gen292,8.075000,6012,3414.703655,5.850000
gen293,8.222000,5027,3374.431972,6.150000
gen294,8.109000,5380,3473.071326,5.700000
