gen32,27.793,2.602,6232.33,0.310828,76.6078,6.66431,3.71262,-32.0499
gen33,10.544,0.52,1112.95,0.615109,0.100068,0.0532277,0.192183,224.315
gen34,24.382,0.575,4458.85,0.361457,9.04523,2.04762,2.69645,45.7101
gen35,25.627,0.672,5357.28,0.344166,12.0111,2.5171,3.04573,61.9102
gen36,10.942,0.55,1189.7,0.607686,0.251364,0.137498,0.35819,122.66
gen37,10.659,0.523,924.168,0.611056,0.0895045,0.0532765,0.151627,218.848
gen38,15.632,0.535,1860.85,0.517496,1.08506,0.385448,0.846609,370.52
gen39,26.015,0.89,5524.7,0.338077,16.6451,2.36017,2.90444,60.0875
gen40,25.074,0.548,4072.49,0.34374,6.44061,0.989771,1.42819,216.215
gen41,13.83,0.568,2232.03,0.557855,1.74589,0.582782,1.03935,245.983
gen42,26.682,0.627,5060.07,0.319775,13.6031,2.04371,2.16715,70.8201
gen43,27.15,0.621,5323,0.312532,15.7449,3.07876,3.56455,-79.4349
gen44,26.335,0.889,5608.52,0.332266,18.3509,2.70908,2.69732,78.3125
gen45,26.954,1.069,6015.37,0.32353,28.7274,3.84924,2.68999,-52.9075
gen46,27.168,1.239,5929.97,0.318655,39.0447,4.15369,2.6105,-75.1824
gen47,27.563,1.149,6177.95,0.312634,36.3552,3.8824,2.60274,-134.515
gen48,10.336,0.56,910.58,0.617621,0.109909,0.057068,0.132984,327.995
gen49,28.712,1.239,5878.15,0.286517,49.0865,4.87765,3.06125,-322.435
gen50,27.717,1.964,6699.53,0.315528,63.1955,5.90227,4.44254,-116.695
gen51,10.222,0.524,916.679,0.619954,0.0167102,0.0125326,0.0170445,235.655
gen52,11.954,0.522,1269.5,0.587598,0.41603,0.195646,0.375461,257.323
gen53,10.65,0.528,1091.62,0.612756,0.145592,0.102771,0.325486,228.163
gen54,23.66,0.517,6568.69,0.395159,5.12867,4.7422,12.6495,-42.985
gen55,28.646,0.806,9023.57,0.315458,20.035,9.007,15.7738,-365.973
gen56,20.881,0.615,6910.32,0.455402,5.0621,4.5551,12.9219,-31.4424
gen57,28.334,0.592,8160.36,0.313732,11.3438,10.6209,25.5984,-302.388
gen58,27.336,0.642,7590.13,0.329156,9.05225,7.69925,19.0571,-166.915
gen59,17.986,0.581,5067.66,0.498146,3.38912,3.10589,8.93664,113.142
gen60,19.838,0.606,4445.69,0.454601,4.33647,2.2688,5.70009,61.1001
gen61,21.135,0.649,7597.61,0.456435,5.82,5.56,15.5349,127.318
