gens,average_placement,hands_won,mean_money,fitness
gen253,2.968000,7651,1600.219634,1.200000
gen254,3.140000,9862,1484.683186,2.000000
gen255,2.968000,7504,1627.090462,1.200000
gen256,3.028000,4615,1470.148456,1.600000
gen257,2.983000,6031,1610.975414,1.400000
gen258,2.976000,9149,1566.919168,1.200000
gen259,3.048000,3979,1223.980126,2.000000
gen260,3.043000,4732,1422.889906,1.600000
gen261,2.971000,6007,1592.363309,1.500000
gen262,3.000000,6818,1564.467029,1.300000
gen263,3.021000,6610,1542.987354,1.300000
gen264,3.031000,7762,1532.919972,1.200000
gen265,2.897000,6824,1691.090777,1.300000
gen266,3.006000,7854,1635.952794,1.200000
gen267,3.037000,5719,1530.720990,1.600000
gen268,2.839000,6059,1620.822889,1.300000
gen269,3.841000,9807,1345.423513,2.800000
gen270,3.003000,6458,1706.596132,1.300000
gen271,3.016000,6066,1609.972136,1.500000
gen272,3.030000,6940,1616.857088,1.200000
gen273,2.965000,5431,1532.750301,1.600000
gen274,2.916000,6421,1703.355443,1.300000
gen275,2.956000,4910,1442.490260,1.600000
gen276,2.964000,4680,1396.780202,1.600000
gen277,2.904000,5627,1507.018993,1.600000
gen278,2.911000,7356,1706.339228,1.200000
gen279,2.941000,5987,1599.994802,1.500000
gen280,2.930000,5798,1545.996435,1.600000
gen281,2.904000,6756,1726.498612,1.200000
gen282,2.876000,7417,1703.725075,1.200000
gen283,2.991000,6095,1594.163070,1.300000
gen284,3.014000,5121,1545.239353,1.500000
gen285,3.093000,5915,1605.255526,1.500000
gen286,2.984000,6114,1612.573846,1.500000
gen287,3.067000,5209,1620.702385,1.500000
gen288,3.003000,6275,1631.338425,1.400000
gen289,2.950000,7168,1668.918824,1.100000
gen290,3.059000,5853,1676.891388,1.500000
gen291,3.065000,4874,1573.686671,1.600000
gen292,3.031000,5180,1564.358503,1.600000
gen293,3.083000,4838,1511.444863,1.600000
gen294,2.968000,6489,1634.229060,1.400000
gen295,3.025000,4089,1428.907120,1.700000
gen296,2.994000,7902,1614.555540,1.200000
gen297,2.969000,7408,1669.820913,1.200000
gen298,2.910000,7594,1603.964856,1.200000
gen299,3.066000,6214,1695.320078,1.200000
gen300,3.022000,7994,1601.460779,1.200000
gen301,3.022000,6378,1679.197210,1.300000
gen302,2.887000,9258,1599.267273,1.200000
gen303,2.924000,9295,1502.947857,1.200000
gen304,2.950000,10700,1518.589394,1.200000
gen305,2.931000,8428,1637.724050,1.200000
gen306,2.877000,8999,1551.657608,1.200000
gen307,2.934000,10092,1483.830573,1.200000
gen308,2.940000,10318,1446.266721,1.200000
gen309,2.918000,9959,1504.360886,1.200000
gen310,2.946000,9300,1528.404052,1.200000
gen311,3.015000,9124,1495.768262,1.200000
gen312,2.957000,8624,1574.233957,1.200000
gen313,2.943000,8412,1591.233440,1.100000
gen314,2.951000,8358,1479.236993,1.200000
